REGION,TECHNOLOGY,FUEL,YEAR,VALUE
"Region1","IMP_DSL","DSL",2033,1065.19112965789
"Region1","IMP_DSL","DSL",2034,1014.95415960425
"Region1","IMP_DSL","DSL",2035,968.009694011857
"Region1","IMP_GSL","GSL",2018,721.33657598947
"Region1","IMP_GSL","GSL",2019,707.960206210948
"Region1","IMP_GSL","GSL",2020,678.93401966481
"Region1","IMP_GSL","GSL",2021,683.486407468971
"Region1","IMP_GSL","GSL",2022,687.472915633182
"Region1","IMP_GSL","GSL",2023,681.073301359566
"Region1","IMP_GSL","GSL",2024,666.383877017631
"Region1","IMP_GSL","GSL",2025,555.706830886979
"Region1","IMP_GSL","GSL",2026,555.706830886978
"Region1","IMP_GSL","GSL",2027,550.896942571943
"Region1","IMP_GSL","GSL",2028,543.097316444312
"Region1","IMP_GSL","GSL",2029,508.973823819874
"Region1","IMP_GSL","GSL",2030,469.944374043851
"Region1","IMP_GSL","GSL",2031,437.465280196001
"Region1","IMP_GSL","GSL",2032,383.546738869196
"Region1","IMP_GSL","GSL",2033,153.285373485072
"Region1","IMP_GSL","GSL",2034,99.5885714748
"Region1","IMP_GSL","GSL",2035,45.114499655568
"Region1","IMP_KER","KER",2018,157.035692911
"Region1","IMP_KER","KER",2019,160.3287836388
"Region1","IMP_KER","KER",2020,164.0889980244
"Region1","IMP_KER","KER",2021,168.3467278744
"Region1","IMP_KER","KER",2022,172.7895869666
"Region1","IMP_KER","KER",2023,178.045098653
"Region1","IMP_KER","KER",2024,182.363637319545
"Region1","IMP_KER","KER",2025,187.878226296825
"Region1","IMP_KER","KER",2026,198.30753169226
"Region1","IMP_KER","KER",2027,203.11522148841
"Region1","IMP_KER","KER",2028,215.08329128644
"Region1","IMP_KER","KER",2029,215.4379811576
"Region1","IMP_KER","KER",2030,218.4670548876
"Region1","IMP_KER","KER",2031,231.88167817854
"Region1","IMP_KER","KER",2032,246.19151373254
"Region1","IMP_KER","KER",2033,261.45479946098
"Region1","IMP_KER","KER",2034,278.764222473373
"Region1","IMP_KER","KER",2035,295.09387003546
"Region1","IMP_LPG","LPG",2018,327.699618348
"Region1","IMP_LPG","LPG",2019,300.391316734
"Region1","IMP_LPG","LPG",2020,273.083015293
"Region1","IMP_LPG","LPG",2021,245.774713673
"Region1","IMP_LPG","LPG",2022,218.466412235
"Region1","IMP_LPG","LPG",2023,191.158110614
"Region1","IMP_LPG","LPG",2024,163.849809176
"Region1","IMP_LPG","LPG",2025,136.541507647
"Region1","IMP_LPG","LPG",2026,109.233206117
"Region1","IMP_LPG","LPG",2027,81.924904588
"Region1","IMP_LPG","LPG",2028,54.616603058
"Region1","IMP_LPG","LPG",2029,27.308301529
"Region1","IND_BIO_AUTOPRD","BIO_AUTOPRD",2018,58.1680499690002
"Region1","IND_BIO_AUTOPRD","BIO_AUTOPRD",2019,66.3908669
"Region1","IND_BIO_AUTOPRD","BIO_AUTOPRD",2020,72.79156855
"Region1","IND_BIO_AUTOPRD","BIO_AUTOPRD",2021,79.68500115
"Region1","IND_BIO_AUTOPRD","BIO_AUTOPRD",2022,87.1054544
"Region1","IND_BIO_AUTOPRD","BIO_AUTOPRD",2023,95.0894708
"Region1","IND_BIO_AUTOPRD","BIO_AUTOPRD",2024,143.164784561787
"Region1","IND_BIO_AUTOPRD","BIO_AUTOPRD",2025,130.968909745841
"Region1","IND_BIO_AUTOPRD","BIO_AUTOPRD",2026,122.82517095
"Region1","IND_BIO_AUTOPRD","BIO_AUTOPRD",2027,133.47909835
