REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
"Region1","S1D1B1","IMP_LPG",1,2027,450.696872691269
"Region1","S1D1B1","IMP_LPG",1,2028,535.288582903344
"Region1","S1D1B1","IMP_LPG",1,2029,565.406597919862
"Region1","S1D1B1","IMP_LPG",1,2030,502.028208591859
"Region1","S1D1B1","IMP_LPG",1,2031,791.48148378946
"Region1","S1D1B1","IMP_LPG",1,2032,539.756693694369
"Region1","S1D1B1","IMP_LPG",1,2033,559.771983308331
"Region1","S1D1B1","IMP_LPG",1,2034,721.621876438782
"Region1","S1D1B1","IMP_LPG",1,2035,602.288053473347
"Region1","S1D1B1","IND_BIO_AUTOPRD",1,2018,58.1738673557355
"Region1","S1D1B1","IND_BIO_AUTOPRD",1,2019,61.2646479517951
"Region1","S1D1B1","IND_BIO_AUTOPRD",1,2020,64.519642012201
"Region1","S1D1B1","IND_BIO_AUTOPRD",1,2021,67.9475739738974
"Region1","S1D1B1","IND_BIO_AUTOPRD",1,2022,71.5576322117214
"Region1","S1D1B1","IND_BIO_AUTOPRD",1,2024,98.6394165139839
"Region1","S1D1B1","IND_BIO_AUTOPRD",1,2025,83.5799255875589
"Region1","S1D1B1","IND_BIO_AUTOPRD",1,2026,109.399290839652
"Region1","S1D1B1","IND_BIO_AUTOPRD",1,2027,115.211681093847
"Region1","S1D1B1","IND_BIO_AUTOPRD",1,2028,97.6220673137312
"Region1","S1D1B1","IND_BIO_AUTOPRD",1,2029,127.779306461157
"Region1","S1D1B1","IND_BIO_AUTOPRD",1,2030,134.568227452455
"Region1","S1D1B1","IND_BIO_AUTOPRD",1,2031,114.023408224322
"Region1","S1D1B1","IND_BIO_AUTOPRD",1,2032,120.081477943294
"Region1","S1D1B1","IND_BIO_AUTOPRD",1,2033,126.461413224322
"Region1","S1D1B1","IND_BIO_AUTOPRD",1,2034,165.527653120572
"Region1","S1D1B1","IND_BIO_AUTOPRD",1,2035,174.322146310752
